Format = Name, Patch, Type, Ra, Dec, I, Q, U, V, SpectralIndex, LogarithmicSI, ReferenceFrequency='150.e6', MajorAxis, MinorAxis, Orientation

, cluster1, POINT, , , , , , , , , , , ,
3C196_1239, cluster1, GAUSSIAN, 08:13:36.343, 48.13.01.081, 0.00456982990726829, 0, 0, 0, [-0.00576858408749104, -0.000766231503803283], false, 144876098.632812, 0.411342194728987, 0.411342194728987, 0
3C196_1455, cluster1, GAUSSIAN, 08:13:36.473, 48.12.59.231, 0.00466875825077295, 0, 0, 0, [-0.0352497398853302, 0.136161491274834], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1456, cluster1, GAUSSIAN, 08:13:36.468, 48.12.59.231, 0.0782952159643173, 0, 0, 0, [-0.156108662486076, -0.0751766934990883], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1507, cluster1, GAUSSIAN, 08:13:36.303, 48.13.01.031, 0.00826001912355423, 0, 0, 0, [-0.0398148186504841, 0.118867598474026], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1508, cluster1, GAUSSIAN, 08:13:36.308, 48.13.01.081, 0.0041835205629468, 0, 0, 0, [-0.0226211659610271, 0.0864164605736732], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1509, cluster1, GAUSSIAN, 08:13:36.313, 48.13.01.131, 0.00407099956646562, 0, 0, 0, [-0.0252188369631767, 0.109308280050755], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1510, cluster1, GAUSSIAN, 08:13:36.318, 48.13.01.181, 0.00862508825957775, 0, 0, 0, [-0.060667160898447, 0.274296432733536], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1511, cluster1, GAUSSIAN, 08:13:36.328, 48.13.01.231, 0.00433797063305974, 0, 0, 0, [-0.0321918204426765, 0.140286460518837], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1512, cluster1, GAUSSIAN, 08:13:36.353, 48.13.01.281, 0.0215857140719891, 0, 0, 0, [-0.0502700321376324, 0.00494588259607553], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1513, cluster1, GAUSSIAN, 08:13:36.348, 48.13.01.281, 0.00352806830778718, 0, 0, 0, [-0.0175992380827665, 0.0467616952955723], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1514, cluster1, GAUSSIAN, 08:13:36.343, 48.13.01.281, 0.0075963526032865, 0, 0, 0, [-0.0459821484982967, 0.157859712839127], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1515, cluster1, GAUSSIAN, 08:13:36.338, 48.13.01.281, 0.00403468823060393, 0, 0, 0, [-0.028728112578392, 0.115470200777054], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1517, cluster1, GAUSSIAN, 08:13:36.353, 48.13.01.331, 0.0255011413246393, 0, 0, 0, [-0.110512934625149, 0.218801975250244], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1518, cluster1, GAUSSIAN, 08:13:36.348, 48.13.01.331, 0.00728217931464314, 0, 0, 0, [-0.0391627922654152, 0.115877151489258], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1520, cluster1, GAUSSIAN, 08:13:36.343, 48.13.01.381, 0.00977008696645498, 0, 0, 0, [-0.0898808687925339, 0.370782077312469], false, 144876098.632812, 0.822684389457975, 0.822684389457975, 0
3C196_1686, cluster1, GAUSSIAN, 08:13:36.283, 48.13.01.381, 0.0383541919291019, 0, 0, 0, [-0.0668047592043877, -0.100844010710716], false, 144876098.632812, 1.64536877891595, 1.64536877891595, 0
3C196_1687, cluster1, GAUSSIAN, 08:13:36.278, 48.13.01.381, 0.0784589648246765, 0, 0, 0, [0.0325899831950665, -0.415130227804184], false, 144876098.632812, 1.64536877891595, 1.64536877891595, 0
3C196_1688, cluster1, GAUSSIAN, 08:13:36.288, 48.13.01.431, 0.0275055970996618, 0, 0, 0, [-0.0531419441103935, -0.0245544146746397], false, 144876098.632812, 1.64536877891595, 1.64536877891595, 0
3C196_1689, cluster1, GAUSSIAN, 08:13:36.283, 48.13.01.431, 0.016420666128397, 0, 0, 0, [-0.019142547622323, -0.00723250396549702], false, 144876098.632812, 1.64536877891595, 1.64536877891595, 0
3C196_1692, cluster1, GAUSSIAN, 08:13:36.293, 48.13.01.531, 0.0157392118126154, 0, 0, 0, [-0.0305502694100142, 0.00947365630418062], false, 144876098.632812, 1.64536877891595, 1.64536877891595, 0
3C196_1693, cluster1, GAUSSIAN, 08:13:36.298, 48.13.01.581, 0.0302416272461414, 0, 0, 0, [-0.0505110621452332, -0.0040001729503274], false, 144876098.632812, 1.64536877891595, 1.64536877891595, 0
3C196_1694, cluster1, GAUSSIAN, 08:13:36.298, 48.13.01.631, 0.0718307197093964, 0, 0, 0, [-0.114709854125977, 0.0687495321035385], false, 144876098.632812, 1.64536877891595, 1.64536877891595, 0
3C196_1698, cluster1, GAUSSIAN, 08:13:36.308, 48.13.01.731, 0.0378205478191376, 0, 0, 0, [-0.0597623847424984, 0.0747770965099335], false, 144876098.632812, 1.64536877891595, 1.64536877891595, 0
3C196_1699, cluster1, GAUSSIAN, 08:13:36.303, 48.13.01.731, 0.0197175554931164, 0, 0, 0, [-0.0328368917107582, 0.039463497698307], false, 144876098.632812, 1.64536877891595, 1.64536877891595, 0
3C196_1701, cluster1, GAUSSIAN, 08:13:36.308, 48.13.01.781, 0.0207334235310555, 0, 0, 0, [-0.0292026903480291, 0.0388226360082626], false, 144876098.632812, 1.64536877891595, 1.64536877891595, 0
3C196_1704, cluster1, GAUSSIAN, 08:13:36.313, 48.13.01.831, 0.021317096427083, 0, 0, 0, [-0.0226015020161867, 0.0173408593982458], false, 144876098.632812, 1.64536877891595, 1.64536877891595, 0
3C196_376, cluster1, POINT, 08:13:36.443, 48.13.01.131, -0.00688486261964324, 0, 0, 0, [0.00373185100033879, -0.000836025108583272], false, 144876098.632812, , ,
3C196_384, cluster1, POINT, 08:13:36.453, 48.13.01.181, -0.000372935750465113, 0, 0, 0, [0.000200767768546939, -1.81382110895356e-05], false, 144876098.632812, , ,
3C196_389, cluster1, POINT, 08:13:36.458, 48.13.01.231, -0.00171263983175478, 0, 0, 0, [0.000920798629522324, -7.82435381552204e-05], false, 144876098.632812, , ,
3C196_390, cluster1, POINT, 08:13:36.403, 48.13.01.231, 0.0126415882259607, 0, 0, 0, [-0.027229318395257, -0.0947406366467476], false, 144876098.632812, , ,
3C196_429, cluster1, POINT, 08:13:36.388, 48.13.01.431, 0.00658138142898679, 0, 0, 0, [0.00218115211464465, -0.0182821061462164], false, 144876098.632812, , ,
3C196_436, cluster1, POINT, 08:13:36.433, 48.13.01.481, -0.00493520661906926, 0, 0, 0, [0.0027117773424834, -0.000418257870478556], false, 144876098.632812, , ,
3C196_437, cluster1, POINT, 08:13:36.393, 48.13.01.481, 0.0119171962141991, 0, 0, 0, [-0.0330259427428246, 0.195499762892723], false, 144876098.632812, , ,
3C196_444, cluster1, POINT, 08:13:36.438, 48.13.01.531, -0.00683248023186631, 0, 0, 0, [0.0037329678889364, -0.000873401470016688], false, 144876098.632812, , ,
3C196_445, cluster1, POINT, 08:13:36.433, 48.13.01.531, -0.00298466060773993, 0, 0, 0, [0.00162275764159858, -7.57022135076113e-05], false, 144876098.632812, , ,
3C196_449, cluster1, POINT, 08:13:36.448, 48.13.01.581, -0.00164578752617478, 0, 0, 0, [0.000888723589014262, -5.68813156860415e-05], false, 144876098.632812, , ,
3C196_450, cluster1, POINT, 08:13:36.443, 48.13.01.581, -0.00129091296119711, 0, 0, 0, [0.000697443319950253, -6.41225778963417e-05], false, 144876098.632812, , ,
3C196_454, cluster1, POINT, 08:13:36.453, 48.13.01.631, -0.00162297549094723, 0, 0, 0, [0.000863384397234768, -5.02191942359786e-05], false, 144876098.632812, , ,
3C196_455, cluster1, POINT, 08:13:36.448, 48.13.01.631, -0.00230962331966171, 0, 0, 0, [0.0012582641793415, -0.000146486490848474], false, 144876098.632812, , ,
3C196_459, cluster1, POINT, 08:13:36.453, 48.13.01.681, -0.0072044174638773, 0, 0, 0, [0.00386438914574683, -0.000542481022421271], false, 144876098.632812, , ,
3C196_476, cluster1, POINT, 08:13:36.398, 48.13.01.781, -0.0115930331288276, 0, 0, 0, [0.00630828086286783, -0.00143588788341731], false, 144876098.632812, , ,
3C196_477, cluster1, POINT, 08:13:36.373, 48.13.01.781, 0.00437792390584946, 0, 0, 0, [0.0198053065687418, 0.116618268191814], false, 144876098.632812, , ,
3C196_478, cluster1, POINT, 08:13:36.368, 48.13.01.781, 0.00257754581980407, 0, 0, 0, [0.000315596931613982, 0.000346034590620548], false, 144876098.632812, , ,
3C196_479, cluster1, POINT, 08:13:36.363, 48.13.01.781, 0.00476114172488451, 0, 0, 0, [-0.0141736790537834, -0.000529671495314687], false, 144876098.632812, , ,
3C196_481, cluster1, POINT, 08:13:36.213, 48.13.01.781, 0.00242590741254389, 0, 0, 0, [0.00176048465073109, -0.0365951396524906], false, 144876098.632812, , ,
3C196_488, cluster1, POINT, 08:13:36.403, 48.13.01.831, -0.000431402761502339, 0, 0, 0, [0.000231959071243182, -2.26477131946012e-05], false, 144876098.632812, , ,
3C196_489, cluster1, POINT, 08:13:36.398, 48.13.01.831, -0.00138216803820369, 0, 0, 0, [0.000739543815143406, -6.88512009219266e-05], false, 144876098.632812, , ,
3C196_490, cluster1, POINT, 08:13:36.368, 48.13.01.831, 0.00605316367000341, 0, 0, 0, [-0.0148369744420052, -0.0231828931719065], false, 144876098.632812, , ,
3C196_491, cluster1, POINT, 08:13:36.363, 48.13.01.831, 0.00558957317844033, 0, 0, 0, [-0.0148412827402353, -0.0267963372170925], false, 144876098.632812, , ,
3C196_492, cluster1, POINT, 08:13:36.213, 48.13.01.831, 0.000844333437271416, 0, 0, 0, [0.00156921206507832, -0.0208596009761095], false, 144876098.632812, , ,
3C196_493, cluster1, POINT, 08:13:36.208, 48.13.01.831, 0.00442910380661488, 0, 0, 0, [0.0128964195027947, -0.11421561986208], false, 144876098.632812, , ,
3C196_500, cluster1, POINT, 08:13:36.433, 48.13.01.881, 0.000941624341066927, 0, 0, 0, [-0.000237445899983868, 0.00139840971678495], false, 144876098.632812, , ,
3C196_501, cluster1, POINT, 08:13:36.428, 48.13.01.881, 0.00416494021192193, 0, 0, 0, [-0.0058779139071703, 0.0678162723779678], false, 144876098.632812, , ,
3C196_502, cluster1, POINT, 08:13:36.403, 48.13.01.881, -0.00955205402562237, 0, 0, 0, [0.00497689470648766, -0.00171302433591336], false, 144876098.632812, , ,
3C196_503, cluster1, POINT, 08:13:36.368, 48.13.01.881, 0.000527064665220678, 0, 0, 0, [0.00336585287004709, -0.0301849916577339], false, 144876098.632812, , ,
3C196_509, cluster1, POINT, 08:13:36.448, 48.13.01.931, 0.0025305338203907, 0, 0, 0, [0.00126275990623981, 0.06252571195364], false, 144876098.632812, , ,
3C196_510, cluster1, POINT, 08:13:36.443, 48.13.01.931, 0.00163387320935726, 0, 0, 0, [0.00549579272046685, 0.0679988712072372], false, 144876098.632812, , ,
3C196_511, cluster1, POINT, 08:13:36.438, 48.13.01.931, 0.0124353067949414, 0, 0, 0, [-0.0118601396679878, -0.0896732062101364], false, 144876098.632812, , ,
3C196_512, cluster1, POINT, 08:13:36.433, 48.13.01.931, 0.0158462151885033, 0, 0, 0, [-0.0138677293434739, -0.0691579729318619], false, 144876098.632812, , ,
3C196_513, cluster1, POINT, 08:13:36.373, 48.13.01.931, 0.0123329740017653, 0, 0, 0, [-0.0211414992809296, 0.0217436496168375], false, 144876098.632812, , ,
3C196_514, cluster1, POINT, 08:13:36.363, 48.13.01.931, 0.00194509350694716, 0, 0, 0, [0.000191426792298444, 0.00696834642440081], false, 144876098.632812, , ,
